Event,Waveform,chirp_mass,mass_1_source,mass_2_source,luminosity_distance,redshift,ra,dec,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,network_matched_filter_snr
GW191105_143521,C01:IMRPhenomXPHM,9.57136,11.2938,7.35915,1191.46494,0.23091,1.94833,-0.21666,0.31374,0.41236,1.57896,1.60425,3.15012,3.15588,1.44335,1.54381,3.13161,9.61624
GW200302_015811,C01:IMRPhenomXPHM,30.07559,37.58476,19.65985,1634.35365,0.30296,2.63431,0.06185,0.40189,0.47286,1.57696,1.51876,3.15558,3.11295,1.42025,1.54808,2.56124,10.78635
GW200302_015811,C01:IMRPhenomXPHM,30.07559,37.58476,19.65985,1634.35365,0.30296,2.63431,0.06185,0.40189,0.47286,1.57696,1.51876,3.15558,3.11295,1.42025,1.54808,2.56124,10.78635
GW200302_015811,C01:IMRPhenomXPHM,30.07559,37.58476,19.65985,1634.35365,0.30296,2.63431,0.06185,0.40189,0.47286,1.57696,1.51876,3.15558,3.11295,1.42025,1.54808,2.56124,10.78635
GW200209_085452,C01:IMRPhenomXPHM,42.62052,34.7797,26.3523,3952.19555,0.6383,2.65073,0.72074,0.52817,0.50909,1.75982,1.81004,3.12074,3.10006,1.5949,1.48902,3.09784,9.55012
GW200209_085452,C01:IMRPhenomXPHM,42.62052,34.7797,26.3523,3952.19555,0.6383,2.65073,0.72074,0.52817,0.50909,1.75982,1.81004,3.12074,3.10006,1.5949,1.48902,3.09784,9.55012
GW200209_085452,C01:IMRPhenomXPHM,42.62052,34.7797,26.3523,3952.19555,0.6383,2.65073,0.72074,0.52817,0.50909,1.75982,1.81004,3.12074,3.10006,1.5949,1.48902,3.09784,9.55012
GW200220_124850,C01:IMRPhenomXPHM,47.90236,36.61616,26.68447,5202.29099,0.79813,2.93836,0.10795,0.49483,0.48634,1.68153,1.70674,3.14218,3.10855,1.61656,1.55831,2.87991,8.39574
GW200220_124850,C01:IMRPhenomXPHM,47.90236,36.61616,26.68447,5202.29099,0.79813,2.93836,0.10795,0.49483,0.48634,1.68153,1.70674,3.14218,3.10855,1.61656,1.55831,2.87991,8.39574
GW200220_124850,C01:IMRPhenomXPHM,47.90236,36.61616,26.68447,5202.29099,0.79813,2.93836,0.10795,0.49483,0.48634,1.68153,1.70674,3.14218,3.10855,1.61656,1.55831,2.87991,8.39574
GW191127_050227,C01:IMRPhenomXPHM,54.94649,59.1049,25.37127,4749.51541,0.73781,2.63736,0.47099,0.64276,0.52594,1.08727,1.35309,3.16227,3.13568,1.57715,1.57573,2.98007,9.10548
GW191127_050227,C01:IMRPhenomXPHM,54.94649,59.1049,25.37127,4749.51541,0.73781,2.63736,0.47099,0.64276,0.52594,1.08727,1.35309,3.16227,3.13568,1.57715,1.57573,2.98007,9.10548
GW191127_050227,C01:IMRPhenomXPHM,54.94649,59.1049,25.37127,4749.51541,0.73781,2.63736,0.47099,0.64276,0.52594,1.08727,1.35309,3.16227,3.13568,1.57715,1.57573,2.98007,9.10548
GW200208_130117,C01:IMRPhenomXPHM,39.03648,37.94224,26.9023,2396.08621,0.42177,2.43619,-0.58377,0.40909,0.44709,1.77232,1.66697,3.09695,2.98284,2.55279,1.4568,3.56311,10.77832
GW200208_130117,C01:IMRPhenomXPHM,39.03648,37.94224,26.9023,2396.08621,0.42177,2.43619,-0.58377,0.40909,0.44709,1.77232,1.66697,3.09695,2.98284,2.55279,1.4568,3.56311,10.77832
GW200208_130117,C01:IMRPhenomXPHM,39.03648,37.94224,26.9023,2396.08621,0.42177,2.43619,-0.58377,0.40909,0.44709,1.77232,1.66697,3.09695,2.98284,2.55279,1.4568,3.56311,10.77832
GW191215_223052,C01:IMRPhenomXPHM,24.86346,24.96632,17.79491,2087.13881,0.37491,4.02665,-0.11118,0.45831,0.48222,1.61587,1.69081,3.15917,3.0876,1.37424,1.56914,2.47505,11.14805
GW191215_223052,C01:IMRPhenomXPHM,24.86346,24.96632,17.79491,2087.13881,0.37491,4.02665,-0.11118,0.45831,0.48222,1.61587,1.69081,3.15917,3.0876,1.37424,1.56914,2.47505,11.14805
GW191215_223052,C01:IMRPhenomXPHM,24.86346,24.96632,17.79491,2087.13881,0.37491,4.02665,-0.11118,0.45831,0.48222,1.61587,1.69081,3.15917,3.0876,1.37424,1.56914,2.47505,11.14805
GW200316_215756,C01:IMRPhenomXPHM,10.68435,15.38903,7.2605,1133.5289,0.22085,1.62655,0.70661,0.36772,0.48678,0.99766,1.27541,3.14736,3.31728,2.22113,1.64541,2.75358,10.25554
GW200316_215756,C01:IMRPhenomXPHM,10.68435,15.38903,7.2605,1133.5289,0.22085,1.62655,0.70661,0.36772,0.48678,0.99766,1.27541,3.14736,3.31728,2.22113,1.64541,2.75358,10.25554
GW200316_215756,C01:IMRPhenomXPHM,10.68435,15.38903,7.2605,1133.5289,0.22085,1.62655,0.70661,0.36772,0.48678,0.99766,1.27541,3.14736,3.31728,2.22113,1.64541,2.75358,10.25554
